Rank,Title,Score,Episodes
441,Koukaku Kidoutai: Stand Alone Complex - Solid State Society,8.11,Special
442,Kuragehime,8.11,TV
443,Mahoutsukai no Yome: Hoshi Matsu Hito,8.11,OVA
444,Saiki Kusuo no Ψ-nan: Ψ-shidou-hen,8.11,ONA
445,Toki wo Kakeru Shoujo,8.11,Movie
446,Boku no Hero Academia 2nd Season,8.11,TV
447,Chuunibyou demo Koi ga Shitai! Movie: Take On Me,8.11,Movie
448,Detective Conan Movie 14: The Lost Ship in the Sky,8.11,Movie
449,Detroit Metal City,8.11,OVA
450,Douluo Dalu 2nd Season,8.11,ONA
451,Durarara!!,8.11,TV
452,Fullmetal Alchemist,8.11,TV
453,Gintama°: Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue,8.11,Special
454,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,8.11,TV
455,Akatsuki no Yona OVA,8.10,OVA
456,Diamond no Ace,8.10,TV
457,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,8.10,TV
458,Kamisama Hajimemashita,8.10,TV
459,Kidou Senshi Gundam Unicorn,8.10,OVA
460,Kuroko no Basket: Saikou no Present desu,8.10,Special
461,Mirai Shounen Conan,8.10,TV
462,Tamayura: Sotsugyou Shashin Part 4 - Ashita,8.10,Movie
463,Tsubasa: Shunraiki,8.10,OVA
464,Zankyou no Terror,8.10,TV
465,Tsukimonogatari,8.09,TV
466,Tsurune: Tsunagari no Issha,8.09,TV
467,Uchouten Kazoku 2,8.09,TV
468,Ansatsu Kyoushitsu,8.09,TV
469,Baccano! Specials,8.09,Special
470,Fumetsu no Anata e Season 2,8.09,TV
471,Gin no Saji,8.09,TV
472,Hajime no Ippo: Boxer no Kobushi,8.09,Special
473,Initial D Fifth Stage,8.09,TV
474,Overlord IV,8.09,TV
475,Saint Seiya: The Lost Canvas - Meiou Shinwa 2,8.09,OVA
476,Shokugeki no Souma: Ni no Sara,8.09,TV
477,Stand By Me Doraemon,8.09,Movie
478,Kidou Senshi Gundam 00 Second Season,8.08,TV
479,Kuroko no Basket Movie 4: Last Game,8.08,Movie
480,Luo Xiao Hei Zhan Ji (Movie),8.08,Movie
481,No Game No Life,8.08,TV
482,One Piece Film: Strong World,8.08,Movie
483,Sakura-sou no Pet na Kanojo,8.08,TV
484,Serial Experiments Lain,8.08,TV
485,Skip Beat!,8.08,TV
486,Toradora!,8.08,TV
487,Violet Evergarden: Recollections,8.08,Special
488,5-toubun no Hanayome ∬,8.08,TV
489,Ginga Eiyuu Densetsu: Arata naru Tatakai no Overture,8.08,Movie
490,Gintama: Nanigoto mo Saisho ga Kanjin nanode Tashou Senobisuru Kurai ga Choudoyoi,8.08,Special
491,Hikaru no Go,8.08,TV
492,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,8.08,TV
493,Hyouka,8.08,TV
494,Kanata no Astra,8.08,TV
495,Detective Conan Movie 18: The Sniper from Another Dimension,8.07,Movie
496,Gintama: Dai Hanseikai,8.07,Special
497,Hidamari Sketch: Sae Hiro Sotsugyou-hen,8.07,OVA
498,"Komi-san wa, Comyushou desu. 2nd Season",8.07,TV
499,Koukaku Kidoutai: Stand Alone Complex - The Laughing Man,8.07,Special
500,Kuroshitsuji: Book of Circus,8.07,TV
501,Romantic Killer,8.07,ONA
502,Tonikaku Kawaii: SNS,8.07,OVA
503,Yuusha-Ou GaoGaiGar Final,8.07,OVA
504,Tsuki ga Kirei,8.06,TV
505,World Trigger 2nd Season,8.06,TV
506,Yowamushi Pedal: Grande Road,8.06,TV
507,Angel Beats!,8.06,TV
